"","Timestamp","UTC","Callsign","Position","Altitude","Speed","Direction","phi","lambda","N","X","Y","Z","n","e","u","s","az","h"
"112",1666094365,"2022-10-18T11:59:25Z","LOT3965","52.17746,20.95665",562.12,140,330,0.910668472327641,0.36576254268807,6397180.62629345,414.55678387871,-542.234588839579,377.798695323057,79.1546237130728,-654.669707094806,416.832881067382,780.133021081464,-1.45047265958345,0.563691257059308
"113",1666094373,"2022-10-18T11:59:33Z","LOT3965","52.182358,20.952026",645.94,118,329,0.910753958554403,0.365681838663457,6397113.69227108,133.989113771822,-988.700812083203,724.609132596292,624.96744275751,-971.184144021166,432.154865019831,1233.10209369107,-0.998996500048413,0.3580638581231
"114",1666094379,"2022-10-18T11:59:39Z","LOT3965","52.186523,20.948029",684.04,167,329,0.910826651517749,0.365612077853255,6397056.15057694,-122.413893304765,-1379.88225931674,992.791377522051,1089.11342948158,-1244.72065641399,411.336061332399,1704.31655807636,-0.851974128474809,0.243756287753428
"115",1666094387,"2022-10-18T11:59:47Z","LOT3965","52.191742,20.942917",722.14,185,328,0.91091774025141,0.365522856621893,6396983.24351964,-447.226385758724,-1878.91204632889,1320.55197235383,1670.73636327179,-1594.48694378633,374.741004138156,2339.69643963618,-0.762050429760355,0.16085933447932
"116",1666094393,"2022-10-18T11:59:53Z","LOT3965","52.19693,20.937822",783.1,193,329,0.911008287933004,0.365433932096504,6396909.89081182,-757.154202689882,-2370.90885291365,1663.87200281955,2248.93390347954,-1943.01188789961,360.503007620042,2993.82052188203,-0.712548785110995,0.120708623406065
"117",1666094399,"2022-10-18T11:59:59Z","LOT3965","52.20126,20.933821",889.78,190,330,0.911083860689615,0.365364101473132,6396848.00434668,-990.476542057935,-2753.35438745772,1993.95148401894,2731.54336844747,-2216.64954120479,403.7106905796,3540.88219006521,-0.681714370097898,0.114262627150474
"118",1666094405,"2022-10-18T12:00:05Z","LOT3965","52.206024,20.929489",1034.56,183,331,0.91116700817518,0.365288493809935,6396779.22189641,-1233.67668308178,-3163.77506370703,2378.20068669971,3262.5641013875,-2512.875698371,477.912677386886,4145.75316659507,-0.656313656560805,0.115534507319804
"119",1666094410,"2022-10-18T12:00:10Z","LOT3965","52.209412,20.926514",1126,182,331,0.911226139930238,0.365236570264689,6396729.86761777,-1416.10992287006,-3451.49114165991,2641.99957488012,3640.21774119205,-2716.26478205051,518.691236457051,4571.46805394882,-0.641053076928568,0.113707598509048
"120",1666094416,"2022-10-18T12:00:16Z","LOT3965","52.214386,20.922049",1209.82,184,331,0.911312952607232,0.365158641313587,6396656.75453696,-1710.86603744049,-3891.26043699938,2988.89690632932,4194.65651959398,-3021.44881264615,527.426638003602,5196.39058417368,-0.624226522088517,0.101673737383199
"121",1666094423,"2022-10-18T12:00:23Z","LOT3965","52.218887,20.917892",1308.88,184,328,0.911391509876864,0.365086087976582,6396589.92800287,-1961.90786237875,-4291.69219267415,3320.59651422594,4696.4131860105,-3305.54150926301,557.820817305351,5770.10099975843,-0.613301069467376,0.0968255814950656
"122",1666094426,"2022-10-18T12:00:26Z","LOT3965","52.220901,20.915527",1354.6,184,322,0.911426660807999,0.365044810939772,6396559.82262669,-2061.24637839478,-4502.86112096836,3469.95137659274,4920.95981858313,-3467.1842392558,572.577835790282,6046.90478369652,-0.613789700122312,0.0948314811046764
